Customer ID,Customer Type,Transaction ID,BHC_NAME,RSSD_ID,REPORTING_MONTH,PORTFOLIO_ID,SEGMENT_ID,Product Type,Age,Geography,Delinquency Status,Credit Score,# Accounts,$ Receivables,$ Unpaid principal balance,$ Commitments,# New accounts,$ New commitments,$ Gross contractual charge-offs,$ Bankruptcy charge-offs,$ Recoveries,# Accounts charged-off,$ Net charge-offs,Adjustment factor,$ O/S for 30+ DPD in last 24 months,# Accounts 30+ DPD in last 24 months,Weighted Average Life of Loans,LTV,Delinquency,$ Outstandings,$ Commitment,# New Accounts,$ New Accounts,$ New Commitments,$ Commitment Increases,$ Commitment Decreases,$ Gross Contractual Charge-offs,$ Bankruptcy Charge-offs,$ Net Charge-offs,$ Adjustment Factor,$ Foreclosure,$ New Foreclosure,$ Other Real Estate Owned (OREO),$ New OREO,Original LTV,$ New accounts,$ Adjustment factor,$ New foreclosure,LTV Ratio,WAL,Security,$ Modifications,Adjustment Factor,Education Level,# Accounts in Repayment,$ Outstandings in Repayment,# New Disbursements,$ New Disbursements,$ Unpaid Principal Balance with Co-Signer,$ Unpaid Principal Balance in Grace,$ Unpaid Principal Balance in Deferment,$ Unpaid Principal Balance in Forbearance,$ Vehicle type Car/Van,$ Vehicle type SUV/Truck,$ Vehicle type Sport/Luxury/Convertible,$ Vehicle type Unknown,$ Repossession,$ Current Month Repossession,PD,LGD,ELGD,RWA,$ Ever 30DPD (12M),$ Ever 60DPD (12M),Projected Value,Actual Sale Proceeds,Interest rate,$ Vehicle type car/van,$ Vehicle type SUV/truck,$ Vehicle type sport/luxury/convertible,$ Vehicle type unknown,Adjustment factor to reconcile $ gross contractual charge-offs to $ net charge-offs,$ Ever 30DPD in the last 12 months,$ Ever 60DPD in the last 12 months,Projected value,Actual sale proceeds,Original term <= 48 months,Original term 49-60 months,Original term 61-72 months,Original term >72 months,$ Origination channel (direct),$ Loss mitigation,$ Joint application,Probability of Default (PD),Loss Given Default (LGD),Expected Loss Given Default (ELGD),Risk-Weighted Asset (RWA),$ Unpaid Principal Balance at Charge-off,Percent Loss Severity (3 month Lagged)
46317358,02- Business,870586,Bank_121,330475,2028-05,IntlOthCons,102502724,02 - Secured-Installment,,01 - Canada,XX - Current & 1-29 DPD,01 - <=620,3835.696072,,,,,,,,1.398771862,,,,,,,,,458.7314248,,416.4982004,,29.43052465,,,2.34471076,1.257860582,2.963037037,,,,,,,,,,58.48,23.60547406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28168960,01- Individual,543148,Bank_395,773947,2029-03,IntSB,55803271962,03 - Other,01 - <= Three years old,03 - LATAM,02 - 30-59 DPD,02 - >620,421,,,93.51,,,,,0.4,,,,,,,,,10.62,,49,89.66,,,,0.03,4.26,6.34,,,,,,,,,,,78,02 - Unsecured,27.79,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19899145,01- Individual,566188,Bank_468,492914,2069-05,Student,101020201,02 - Managed - Private,03 - 4 years <= Age < 5 years,,04 - 90-119 DPD,01 - <=660,4638,,,,,,,,0.998031867,,,,,,,,,316.5751455,,,,,,,3.942188796,0.93620509,2.812846821,,,,,,,,,,,37,,,886.489771,"03 - Other (e.g. community college, trade school, etc.)",207,205.0251503,85,126.0783329,46.46182365,37.25232787,88.8719317,38.46669586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87808565,02- Business,847552,Bank_239,875539,2002-09,Student,101030104,01 - Managed - Gov Guaranteed,03 - 4 years <= Age < 5 years,,03 - 60-89 DPD,03 - N/A,1020,,,,,,,,1.206712713,,,,,,,,,210.5499313,,,,,,,3.4870777,1.036301681,1.236733827,,,,,,,,,,,55,,,603.3430905,,236,269.2389764,443,120.03873,115.0359776,58.33077211,55.33413071,96.8900528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34691312,03- NGO,849692,Bank_259,845699,1978-12,Student,202030103,02 - Managed - Private,04 - 3 years <= Age < 4 years,,01 - Current & 1-29 DPD,02 - >660,5488,,,,,,,,0.473550396,,,,,,,,,244.7255425,,,,,,,2.816213918,1.659172428,4.657990363,,,,,,,,,,,17,,,337.4100634,,399,144.9749392,796,16.29208296,160.447851,78.00726984,91.32347772,18.52794148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97475083,01- Individual,482821,Bank_70,581643,1992-11,Student,201020102,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,,05 - 120+ DPD,02 - >660,6435,,,,,,,,0.384443371,,,,,,,,,384.5980582,,,,,,,2.722610378,1.247789738,5.272818406,,,,,,,,,,,71,,,-602.5949177,,259,212.6777562,838,69.29238776,166.5968157,27.15827421,36.38198992,87.37525045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48395534,01- Individual,391691,Bank_562,570716,1992-02,IntSB,30103030102,03 - Other,01 - <= Three years old,,01 - Current & 1-29 DPD,03 - N/A,4742,,,117.45,,,,,0.61,,,,,,,,,324.35,,84,18.2,,,,2.94,1.8,4.13,,,,,,,,,,,61,02 - Unsecured,53.41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57629464,02- Business,973999,Bank_563,987420,1989-01,IntSB,30103030201,03 - Other,01 - <= Three years old,,02 - 30-59 DPD,03 - N/A,8134,,,60.89,,,,,0.95,,,,,,,,,426.02,,219,29.18,,,,2.84,1.38,3.27,,,,,,,,,,,35,01 - Secured,63.27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93121839,03- NGO,107178,Bank_564,569307,2005-11,IntSB,30103030202,03 - Other,01 - <= Three years old,,02 - 30-59 DPD,03 - N/A,6032,,,178.87,,,,,0.71,,,,,,,,,351.81,,76,12.15,,,,1.92,0.62,1.83,,,,,,,,,,,17,02 - Unsecured,45.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22515717,02- Business,292597,Bank_5,180199,2027-09,IntAuto,1010201,01 - New Auto,,01 - Canada,02 - 1-29 DPD,01 - <=620,7905,,,,,,,,0.42,,,,,,,,,107.1,,63,44.98,,,,3.24,0.92,3.74,,,,,,,,,,,42,,,-0.16,,,,,,,,,,185.4,87.92,12.21,5.07,6.39,3.37,0.038,0.89,0.56,256.64,12.66,2.18,,,,,,,,,,,,,,,,,,,,,,,,,
13189575,02- Business,574060,Bank_72,608223,2070-10,USOthCons,1050203,01 - Secured-Revolving,,,05 - 120+ DPD,02 - >620,1424,,,,,,,,0.78,,,,,,,,,252.62,,195,,49.93,,,3.92,1.29,4.43,,,,,,,,,,03 - >= 100,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
